OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	Sub.species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
Cluster_222	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_28	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_98	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Gigasporaceae	undefined	uncultured__Gigasporaceae	Gigasporaceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_135	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_394	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_41	Fungi	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined	uncultured__Glomus	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_18	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_3	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_396	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_66	Fungi	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_86	Fungi	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_97	Fungi	Glomeromycota	undefined	Glomeromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_477	Fungi	Glomeromycota	undefined	undefined	undefined	undefined	undefined	Glomeromycota__sp.__MIB__8856	Glomeromycota	3	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_326	Fungi	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus__majewskii	Paraglomus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_79	Fungi	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	Paraglomus__laccatum	Paraglomus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_50	Fungi	Glomeromycota	undefined	Glomeromycetes	Diversisporales	Scutellosporaceae	Scutellospora	Scutellospora__gilmorei	Scutellospora	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))"
Cluster_325	Fungi	Basidiomycota	undefined	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina__cristata	Clavulina	13	Symbiotroph	Ectomycorrhizal	NULL	Clavarioid	Highly Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_518	Fungi	Zygomycota	Mucoromycotina	undefined	Endogonales	Endogonaceae	Endogone	Multi-affiliation	Endogone	13	Symbiotroph	Ectomycorrhizal	Hypogeous	Gasteroid	Probable	Common name - false truffle	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
Cluster_184	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Entolomataceae	Multi-affiliation	Multi-affiliation	Entolomataceae	9	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal	NULL	Agaricoid	Possible	"Saprobic or ectomycorrhizal, in both broadleaved and coniferous forests; a few species associated with other substrata such as dung and mosses (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))"
Cluster_15	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Geopyxis	Geopyxis__majalis	Geopyxis	13	Symbiotroph	Ectomycorrhizal	NULL	NULL	Possible	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as not ECM)"
Cluster_76	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pezizaceae	Sarcosphaera	Sarcosphaera__crassa	Sarcosphaera	13	Symbiotroph	Ectomycorrhizal	NULL	Pezizoid	Highly Probable	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
Cluster_35	Fungi	Basidiomycota	undefined	Agaricomycetes	Sebacinales	Sebacinaceae	Multi-affiliation	Multi-affiliation	Sebacinaceae	9	Symbiotroph	Ectomycorrhizal	NULL	Coralloid	Probable	"Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)"	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_181	Fungi	Basidiomycota	undefined	Agaricomycetes	Agaricales	Tricholomataceae	Lachnella	Lachnella__villosa	Tricholomataceae	9	Pathotroph-Symbiotroph	Ectomycorrhizal	NULL	Agaricoid	Probable	"Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp."	"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
Cluster_108	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-822"
Cluster_199	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__sp.__JEL347	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-823"
Cluster_272	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-824"
Cluster_308	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__sp.__JEL347	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-825"
Cluster_416	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-826"
Cluster_438	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__sp.__JEL347	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-827"
Cluster_56	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__sp.__JEL347	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-828"
Cluster_92	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Rozella	Rozella__allomycis	Rozella	na	Symbiotroph	Fungal Parasite	na	na	Highly Probable	"Aquatic fungus, parasitic on Allomyces arbusculus"	"Grigoriev_etal_2014; James TY, et al. 2006. Nature 443:818-829"
Cluster_111	Fungi	Zygomycota	Zoopagomycotina	undefined	Zoopagales	Piptocephalidaceae	Syncephalis	Syncephalis__depressa	Syncephalis	13	Pathotroph	Fungal Parasite	NULL	NULL	Probable	NULL	"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
Cluster_94	Fungi	Basidiomycota	undefined	Tremellomycetes	Tremellales	Syzygosporaceae	Syzygospora	Syzygospora__effibulata	Syzygospora	13	Pathotroph	Fungal Parasite	NULL	Tremelloid	Highly Probable	NULL	List compiled by John Plischke III ((https://goodmushroom.weebly.com/uploads/5/7/1/7/57176535/fungi_on_fungi_pdf_lq.pdf))
Cluster_243	Fungi	Ascomycota	Pezizomycotina	Lichinomycetes	Lichinales	Lichinaceae	Psorotichia	Psorotichia__murorum	Psorotichia	13	Symbiotroph	Lichenized	NULL	Thallus	Highly Probable	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Cluster_154	Fungi	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	Sporidiobolus	Sporidiobolus__sp.__ECS	Sporidiobolus	na	na	mycoparasite	na	na	na	na	na
Cluster_1	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_10	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_102	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_105	Fungi	Ascomycota	Pezizomycotina	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_106	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_110	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_112	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_12	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_134	Fungi	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_14	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_142	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_143	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_149	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_155	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_158	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_16	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_167	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_17	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_170	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_176	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_179	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_186	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_19	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_196	Fungi	Basidiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_2	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_20	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_206	Fungi	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_213	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_22	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_230	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_231	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_235	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_259	Fungi	Basidiomycota	Pucciniomycotina	undefined	Erythrobasidiales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_271	Fungi	Basidiomycota	Pucciniomycotina	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_274	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_285	Fungi	Chytridiomycota	undefined	Chytridiomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_29	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_295	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_300	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_329	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_332	Fungi	Ascomycota	Saccharomycotina	Saccharomycetes	Saccharomycetales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_34	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_350	Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_351	Fungi	Ascomycota	Pezizomycotina	Lecanoromycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_36	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_37	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_4	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_400	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_42	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_428	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_429	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_430	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_432	Fungi	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_471	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_489	Fungi	Chytridiomycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_524	Fungi	Basidiomycota	Pucciniomycotina	undefined	Sporidiobolales	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_530	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_55	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_57	Fungi	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_6	Fungi	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_62	Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_63	Fungi	Ascomycota	undefined	undefined	undefined	undefined	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
Cluster_631	Fungi	Basidiomycota	undefined	Tremellomycetes	Cystofilobasidiales	Multi-affiliation	Multi-affiliation	Multi-affiliation	na	na	na	na	na	na	na	na	na
